Id,Title,Description,Article URL,Image URL,Image Size (Ko)
2482323_23,"EXCLUSIF. Covid, secrets d’État","ENQUETE. Notes confidentielles, rapports inedits, echanges de...",https://www.lepoint.fr/societe/exclusif-covid-secrets-d-etat-06-07-2022-2482323_23.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23378752lpw-23390606-article-jpg_8874248.jpg,50.6
2482324_23,"Covid, secrets d’État – Acte 1 : une mystérieuse épidémie chinoise","ENQUETE. Fin 2019, un mal inconnu apparait en Chine, a Wuhan. Le...",https://www.lepoint.fr/societe/covid-secrets-d-etat-acte-1-l-epidemie-chinoise-06-07-2022-2482324_23.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23378761lpw-23390801-article-jpg_8874361.jpg,84.6
2482319_20,Comment fonctionne la motion de censure à l’Assemblée nationale,"Les deputes Nupes degainent, ce mercredi, l'arme fatale pour...",https://www.lepoint.fr/politique/comment-fonctionne-la-motion-de-censure-a-l-assemblee-nationale-06-07-2022-2482319_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23390702lpw-23390786-article-jpg_8872774.jpg,126.4
2482365_1897,Le « label vert » de l’Europe inclura le gaz et le nucléaire,Les anti-gaz et anti-nucleaire du Parlement europeen ont echoue...,https://www.lepoint.fr/politique/emmanuel-berretta/le-label-vert-de-l-europe-inclura-le-gaz-et-le-nucleaire-06-07-2022-2482365_1897.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23391414lpw-23391675-article-jpg_8874259.jpg,90.3
2482370_20,La bourde de Valérie Pécresse qui évoque le départ du préfet de police,La presidente de la region Ile-de-France a publiquement evoque...,https://www.lepoint.fr/politique/la-bourde-de-valerie-pecresse-qui-evoque-le-depart-du-prefet-de-police-06-07-2022-2482370_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23391733lpw-23391739-article-politique-pecresse-police-jpg_8873629.jpg,41.4
2482363_3961,Christine Clerc – Pourquoi défendre Éric Coquerel,CHRONIQUE. Livrer ainsi le president de la commission des...,https://www.lepoint.fr/postillon/christine-clerc-pourquoi-defendre-eric-coquerel-06-07-2022-2482363_3961.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23389096lpw-23389233-article-jpg_8873525.jpg,48.7
2482345_1897,"Au Parlement européen, l’offense faite au Premier ministre grec","La Grece sort du programme de << surveillance renforcee >>,...",https://www.lepoint.fr/politique/emmanuel-berretta/au-parlement-europeen-l-offense-faite-au-premier-ministre-grec-06-07-2022-2482345_1897.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23390019lpw-23390978-article-jpg_8873318.jpg,45.3
2482284_2134,Coignard – Covid : l’exemple ne vient pas toujours d’en haut !,"CHRONIQUE. Avec 200 000 nouveaux cas par jour, l'executif se...",https://www.lepoint.fr/editos-du-point/sophie-coignard/coignard-covid-l-exemple-ne-vient-pas-toujours-d-en-haut-06-07-2022-2482284_2134.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23389967lpw-23389991-article-jpg_8872587.jpg,61.4
2482247_40,Covid-19 : les départements où le virus circule le plus,CARTE. Alors que des millions de Francais s'appretent a partir...,https://www.lepoint.fr/sante/covid-19-les-departements-ou-le-virus-circule-le-plus-05-07-2022-2482247_40.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23388748lpw-23389075-article-jpg_8872523.jpg,68.7
2482283_20,« Éric Zemmour fait apparaître Marine Le Pen comme une femme moderne »,"Sur les sujets societaux, le depute europeen Herve Juvin...",https://www.lepoint.fr/politique/eric-zemmour-fait-apparaitre-marine-le-pen-comme-une-femme-moderne-06-07-2022-2482283_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23383350lpw-23387984-article-jpg_8872813.jpg,50.6
2482258_20,"Borne dévoile son projet sans vote, au risque d’enflammer l’opposition",La Premiere ministre presentera son projet mercredi devant le...,https://www.lepoint.fr/politique/borne-devoile-son-projet-sans-vote-au-risque-d-enflammer-l-opposition-05-07-2022-2482258_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23389576lpw-23389597-article-borne-jpg_8871950.jpg,50.6
2482274_573,Mélenchon estime que la crise politique « se dénouera par des élections »,Le leader Insoumis estime que le contexte politique actuel...,https://www.lepoint.fr/elections-legislatives/melenchon-estime-que-la-crise-politique-se-denouera-par-des-elections-06-07-2022-2482274_573.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/06/23389914lpw-23389921-article-jpg_8871908.jpg,45.6
2482254_1897,Le nucléaire et le gaz face au « label vert » de l’UE,Les parlementaires vont se prononcer mercredi sur le << label...,https://www.lepoint.fr/politique/emmanuel-berretta/le-nucleaire-et-le-gaz-face-au-label-vert-de-l-ue-05-07-2022-2482254_1897.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23388230lpw-23389195-article-jpg_8871667.jpg,98.2
2482256_20,"Chevallier – De Napoléon à Macron, le pari d’un exécutif supérieur",CHRONIQUE. Il faut revenir a l'histoire du parlementarisme...,https://www.lepoint.fr/politique/chevallier-de-napoleon-a-macron-le-pari-d-un-executif-superieur-05-07-2022-2482256_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23388356lpw-23388979-article-conseil-d-etat-jpg_8871605.jpg,68.8
2482221_20,"Accusé de violence sexuelle, Taha Bouhafs charge LFI et Clémentine Autain","Le journaliste et militant, evince des legislatives apres une...",https://www.lepoint.fr/politique/accuse-de-violence-sexuelle-taha-bouhafs-charge-lfi-et-clementine-autain-05-07-2022-2482221_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23387968lpw-23388154-article-jpg_8871549.jpg,20.9
2482248_3,"Rima Abdul-Malak : « L’art ne peut être consensuel, il peut parfois choquer »","ENTRETIEN. France fracturee par les extremes, hegemonie des...",https://www.lepoint.fr/culture/rima-abdul-malak-l-art-ne-peut-etre-consensuel-il-peut-parfois-choquer-05-07-2022-2482248_3.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23383682lpw-23387834-article-jpg_8871423.jpg,74.6
2482229_20,La Nupes va déposer une motion de censure contre le gouvernement,Alors qu'Elisabeth Borne ne sollicitera pas la confiance de...,https://www.lepoint.fr/politique/la-nupes-va-deposer-une-motion-de-censure-contre-le-gouvernement-05-07-2022-2482229_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23388121lpw-23388480-article-politique-nupes-assemblee-jpg_8871185.jpg,38.9
2482158_20,Affaire Éric Coquerel : Darmanin invoque la présomption d’innocence,"Invite sur BFMTV mardi, le ministre de l'Interieur a ete...",https://www.lepoint.fr/politique/affaire-eric-coquerel-darmanin-invoque-la-presomption-d-innocence-05-07-2022-2482158_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23387467lpw-23387500-article-jpg_8870729.jpg,38
2482175_20,Pouvoir d’achat : les mesures (très) coûteuses réclamées par LR,Pour soutenir le budget rectificatif et les mesures pour...,https://www.lepoint.fr/politique/pouvoir-d-achat-les-mesures-tres-couteuses-reclamees-par-lr-05-07-2022-2482175_20.php#xtor=RSS-288,https://www.lepoint.fr/images/2022/07/05/23385510lpw-23385603-article-jpg_8871269.jpg,32.1
